OBJECTID,Station_Number,Station_Name,Province,Water_Flow,Sampling_Freq,Drainage_Area_sq_km,Station_Water_Quantity,Symbol,Year,Latitude,Longitude,Historical_Water_Quantity_Data,Realtime_Water_Quantity_Data,Drainage_Region_ID,Drainage_Region_Water_Quantity,Data_Access_Page,geometry.x,geometry.y
1,01AD002,Saint John River at Fort Kent,,Natural,Yearly,14700,Normal,3,2013,47.25806,-68.59583,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AD002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AD002,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=1,-7636052.8661,5984298.228
2,01AD003,St. Francis River at outlet of Glasier Lake,New Brunswick,Natural,Yearly,1350,Normal,3,2013,47.20661,-68.95694,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AD003,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AD003,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=2,-7676251.4475,5975863.530299999
3,01AE001,Fish River near Fort Kent,,Natural,Yearly,2260,Normal,3,2013,47.2375,-68.58278,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AE001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AE001,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=3,-7634600.1468,5980926.645400003
4,01AQ001,Lepreau River at Lepreau,New Brunswick,Natural,Yearly,239,Normal,3,2013,45.16978,-66.46828,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AQ001,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AQ001,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=4,-7399215.0835,5648289.5911
5,01AQ002,Magaguadavic River at Elmcroft,New Brunswick,Regulated,Yearly,1420,Normal,9,2013,45.27333,-66.80667,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AQ002,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AQ002,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=5,-7436884.486,5664654.8303999975
6,01AR004,St. Croix River at Vanceboro,,Regulated,Yearly,1080,High,11,2013,45.56889,-67.42972,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AR004,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AR004,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=6,-7506242.094699999,5711530.6499999985
7,01AR005,St. Croix River at Baring,,Regulated,Yearly,3550,Normal,9,2013,45.13667,-67.31806,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AR005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AR005,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=7,-7493812.1603999995,5643063.103299998
8,01AR011,Forest City Stream below Forest City Dam,New Brunswick,Regulated,Yearly,357,Normal,9,2013,45.66417,-67.73356,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01AR011,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01AR011,23,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=8,-7540065.4088,5726694.587300003
9,01BG005,Cascapedia (Riviere) en aval du Ruisseau Berry,Quebec,Natural,Yearly,1680,Normal,3,2013,48.62833,-66.16806,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01BG005,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01BG005,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=9,-7365794.745999999,6212030.472099997
10,01BG009,Bonaventure (Riviere) en amont du Ruisseau Creux,Quebec,Natural,Yearly,1910,Normal,3,2013,48.18611,-65.55861,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=h2oArc&stn=01BG009,http://www.wateroffice.ec.gc.ca/report/report_e.html?type=realTime&stn=01BG009,24,Normal,http://maps-cartes.ec.gc.ca/indicators-indicateurs/detailPage.aspx?lang=en&type=water_levels&objectid=10,-7297951.0823,6137872.945100002
